id,branch_id,category_id,name,description,price_paise,retailer_id,image_url,food_type,is_available,is_bestseller,sort_order,item_group_id,variant_type,variant_value
i0000000-0000-0000-0000-000000000001,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Veg Samosa,Crispy golden pastry stuffed with spiced potato and peas. Served with mint chutney.,8000,SR-starters-veg-samosa,https://placehold.co/400x400/f97316/ffffff?text=Veg+Samosa,veg,true,false,1,,,
i0000000-0000-0000-0000-000000000002,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Paneer Tikka,Marinated cottage cheese grilled in tandoor with bell peppers. Smoky and juicy.,22000,SR-starters-paneer-tikka-half,https://placehold.co/400x400/f97316/ffffff?text=Paneer+Tikka,veg,true,true,2,g0000000-0000-0000-0000-000000000001,portion,Half
i0000000-0000-0000-0000-000000000003,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Paneer Tikka,Marinated cottage cheese grilled in tandoor with bell peppers. Smoky and juicy.,38000,SR-starters-paneer-tikka-full,https://placehold.co/400x400/f97316/ffffff?text=Paneer+Tikka,veg,true,true,3,g0000000-0000-0000-0000-000000000001,portion,Full
i0000000-0000-0000-0000-000000000004,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Chicken 65,Spicy deep-fried chicken with curry leaves and green chillies. A South Indian classic.,28000,SR-starters-chicken65-half,https://placehold.co/400x400/dc2626/ffffff?text=Chicken+65,non_veg,true,true,4,g0000000-0000-0000-0000-000000000002,portion,Half
i0000000-0000-0000-0000-000000000005,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Chicken 65,Spicy deep-fried chicken with curry leaves and green chillies. A South Indian classic.,48000,SR-starters-chicken65-full,https://placehold.co/400x400/dc2626/ffffff?text=Chicken+65,non_veg,true,true,5,g0000000-0000-0000-0000-000000000002,portion,Full
i0000000-0000-0000-0000-000000000006,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Fish Fingers,Tender fish fillets in crispy golden breadcrumbs. Served with tartar sauce.,32000,SR-starters-fish-fingers,https://placehold.co/400x400/f97316/ffffff?text=Fish+Fingers,non_veg,true,false,6,,,
i0000000-0000-0000-0000-000000000007,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000001,Mushroom Pepper Fry,Button mushrooms tossed with freshly ground pepper and herbs. Vegan favourite.,18000,SR-starters-mushroom-pepper,https://placehold.co/400x400/84cc16/ffffff?text=Mushroom+Fry,vegan,true,false,7,,,
i0000000-0000-0000-0000-000000000008,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,Dal Makhani,Slow-cooked black lentils simmered overnight in tomato and cream. Soul of North Indian cuisine.,22000,SR-mains-dal-makhani,https://placehold.co/400x400/92400e/ffffff?text=Dal+Makhani,veg,true,true,1,,,
i0000000-0000-0000-0000-000000000009,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,Paneer Butter Masala,Soft paneer cubes in a rich tomato-cream gravy. Perfect with naan.,26000,SR-mains-pbm-half,https://placehold.co/400x400/ea580c/ffffff?text=Paneer+Butter+Masala,veg,true,true,2,g0000000-0000-0000-0000-000000000003,portion,Half
i0000000-0000-0000-0000-000000000010,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,Paneer Butter Masala,Soft paneer cubes in a rich tomato-cream gravy. Perfect with naan.,44000,SR-mains-pbm-full,https://placehold.co/400x400/ea580c/ffffff?text=Paneer+Butter+Masala,veg,true,true,3,g0000000-0000-0000-0000-000000000003,portion,Full
i0000000-0000-0000-0000-000000000011,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,Butter Chicken,Tender chicken in a velvety tomato-butter-cream sauce. India's most loved dish.,30000,SR-mains-butter-chicken-half,https://placehold.co/400x400/b45309/ffffff?text=Butter+Chicken,non_veg,true,true,4,g0000000-0000-0000-0000-000000000004,portion,Half
i0000000-0000-0000-0000-000000000012,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,Butter Chicken,Tender chicken in a velvety tomato-butter-cream sauce. India's most loved dish.,52000,SR-mains-butter-chicken-full,https://placehold.co/400x400/b45309/ffffff?text=Butter+Chicken,non_veg,true,true,5,g0000000-0000-0000-0000-000000000004,portion,Full
i0000000-0000-0000-0000-000000000013,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,Palak Paneer,Fresh cottage cheese in a smooth spiced spinach gravy. Nutritious and flavourful.,24000,SR-mains-palak-paneer,https://placehold.co/400x400/16a34a/ffffff?text=Palak+Paneer,veg,true,false,7,,,
i0000000-0000-0000-0000-000000000014,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000002,Lamb Rogan Josh,Kashmiri slow-cooked lamb in aromatic whole spices. Bold hearty unforgettable.,58000,SR-mains-lamb-rogan-josh,https://placehold.co/400x400/dc2626/ffffff?text=Rogan+Josh,non_veg,true,false,6,,,
i0000000-0000-0000-0000-000000000015,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,Veg Dum Biryani,Fragrant basmati layered with seasonal vegetables and whole spices slow-cooked dum style.,22000,SR-biryani-veg-half,https://placehold.co/400x400/ca8a04/ffffff?text=Veg+Biryani,veg,true,false,1,g0000000-0000-0000-0000-000000000005,size,Half
i0000000-0000-0000-0000-000000000016,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,Veg Dum Biryani,Fragrant basmati layered with seasonal vegetables and whole spices slow-cooked dum style.,38000,SR-biryani-veg-full,https://placehold.co/400x400/ca8a04/ffffff?text=Veg+Biryani,veg,true,false,2,g0000000-0000-0000-0000-000000000005,size,Full
i0000000-0000-0000-0000-000000000017,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,Chicken Dum Biryani,Tender chicken with saffron-infused basmati and caramelised onions.,28000,SR-biryani-chicken-half,https://placehold.co/400x400/b45309/ffffff?text=Chicken+Biryani,non_veg,true,true,3,g0000000-0000-0000-0000-000000000006,size,Half
